"STATION","NAME","DATE","AWND","CLDD","DSNW","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-09","8.5","181","0","8","1.60","0.0","70.8","80.0","61.5",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-10","9.8","34","0","176","7.27","0.0","60.4","67.9","52.9",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-11","10.1","0","0","664","1.49","0.0","42.9","51.1","34.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2019-12","10.1","0","2","848","6.49","4.2","37.6","44.1","31.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-01","10.3","0","1","814","1.67","2.7","38.7","46.2","31.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-02","9.4","0","0","724","2.60","0.0","40.0","47.5","32.6",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-03","10.3","0","0","530","3.76","0.0","47.9","56.0","39.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-04","11.6","0","0","442","3.80","0.0","50.3","58.5","42.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-05","10.1","49","0","178","1.66","0.0","60.8","70.4","51.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-06","8.5","286","0","4","2.89","0.0","74.4","84.1","64.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-07","8.1","491","0","0","11.22","0.0","80.9","89.3","72.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-08","8.7","394","0","0","3.19","0.0","77.7","86.0","69.4",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-09","8.1","165","0","41","4.06","0.0","69.1","77.6","60.7",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-10","8.3","6","0","220","4.57","0.0","58.1","65.9","50.3",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-11","8.9","2","0","407","3.67","0.0","51.5","61.2","41.8",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2020-12","10.3","0","2","834","4.09","11.9","38.1","45.4","30.8",
